status,rank,asset_symbol,asset_name,binance_symbol,canonical_inst_id,listing_time,effective_start
resolved,1,BTC,BTC,BTCUSDT,BTC-USDT-SWAP,2019-09-08T17:55:00+00:00,2024-01-01T00:00:00+00:00
resolved,2,ETH,ETH,ETHUSDT,ETH-USDT-SWAP,2019-11-27T07:45:00+00:00,2024-01-01T00:00:00+00:00
resolved,3,SOL,SOL,SOLUSDT,SOL-USDT-SWAP,2020-09-14T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,4,BNB,BNB,BNBUSDT,BNB-USDT-SWAP,2020-02-10T08:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,5,XRP,XRP,XRPUSDT,XRP-USDT-SWAP,2020-01-06T08:20:00+00:00,2024-01-01T00:00:00+00:00
resolved,6,DOGE,DOGE,DOGEUSDT,DOGE-USDT-SWAP,2020-07-10T09:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,7,ADA,ADA,ADAUSDT,ADA-USDT-SWAP,2020-01-31T08:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,8,TRX,TRX,TRXUSDT,TRX-USDT-SWAP,2020-01-15T08:05:00+00:00,2024-01-01T00:00:00+00:00
resolved,9,LINK,LINK,LINKUSDT,LINK-USDT-SWAP,2020-01-17T08:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,10,AVAX,AVAX,AVAXUSDT,AVAX-USDT-SWAP,2020-09-23T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,11,SUI,SUI,SUIUSDT,SUI-USDT-SWAP,2023-05-03T00:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,12,LTC,LTC,LTCUSDT,LTC-USDT-SWAP,2020-01-09T08:05:00+00:00,2024-01-01T00:00:00+00:00
resolved,13,BCH,BCH,BCHUSDT,BCH-USDT-SWAP,2019-12-19T08:55:00+00:00,2024-01-01T00:00:00+00:00
resolved,14,DOT,DOT,DOTUSDT,DOT-USDT-SWAP,2020-08-22T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,15,XLM,XLM,XLMUSDT,XLM-USDT-SWAP,2020-01-20T08:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,16,HBAR,HBAR,HBARUSDT,HBAR-USDT-SWAP,2021-03-17T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,17,ETC,ETC,ETCUSDT,ETC-USDT-SWAP,2020-01-16T08:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,18,AAVE,AAVE,AAVEUSDT,AAVE-USDT-SWAP,2020-10-16T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,19,ALGO,ALGO,ALGOUSDT,ALGO-USDT-SWAP,2020-06-16T09:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,20,ICP,ICP,ICPUSDT,ICP-USDT-SWAP,2021-07-30T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,21,FIL,FIL,FILUSDT,FIL-USDT-SWAP,2020-10-16T06:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,22,NEAR,NEAR,NEARUSDT,NEAR-USDT-SWAP,2020-10-15T08:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,23,APT,APT,APTUSDT,APT-USDT-SWAP,2022-10-18T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,24,ARB,ARB,ARBUSDT,ARB-USDT-SWAP,2023-03-23T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,25,OP,OP,OPUSDT,OP-USDT-SWAP,2022-06-01T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,26,ATOM,ATOM,ATOMUSDT,ATOM-USDT-SWAP,2020-02-07T12:10:00+00:00,2024-01-01T00:00:00+00:00
resolved,27,INJ,INJ,INJUSDT,INJ-USDT-SWAP,2022-08-16T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,28,IMX,IMX,IMXUSDT,IMX-USDT-SWAP,2022-02-10T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,29,UNI,UNI,UNIUSDT,UNI-USDT-SWAP,2020-09-18T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,30,SEI,SEI,SEIUSDT,SEI-USDT-SWAP,2023-08-17T02:30:00+00:00,2024-01-01T00:00:00+00:00
resolved,31,TAO,TAO,TAOUSDT,TAO-USDT-SWAP,2024-04-11T14:30:00+00:00,2024-04-11T14:30:00+00:00
resolved,32,POL,POL,POLUSDT,POL-USDT-SWAP,2024-09-13T12:15:00+00:00,2024-09-13T12:15:00+00:00
resolved,33,WLD,WLD,WLDUSDT,WLD-USDT-SWAP,2023-07-24T12:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,34,GRT,GRT,GRTUSDT,GRT-USDT-SWAP,2020-12-18T07:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,35,RENDER,RENDER,RENDERUSDT,RENDER-USDT-SWAP,2024-07-26T10:00:00+00:00,2024-07-26T10:00:00+00:00
resolved,36,ENA,ENA,ENAUSDT,ENA-USDT-SWAP,2024-04-02T12:30:00+00:00,2024-04-02T12:30:00+00:00
resolved,37,VET,VET,VETUSDT,VET-USDT-SWAP,2020-02-14T08:00:00+00:00,2024-01-01T00:00:00+00:00
resolved,39,1000SHIB,1000SHIB,1000SHIBUSDT,1000SHIB-USDT-SWAP,2021-05-10T07:00:00+00:00,2024-01-01T00:00:00+00:00
skipped_no_binance_usdt_perp,38,MKR,MKR,,,,
